あ
あーけーど アーケード
ああむじょう ああ無情
あーもんど アーモンド
あーるぴーじー RPG
あいあんまん アイアンマン
あいかぎ 合鍵
あいこん アイコン
あいさいべんとう 愛妻弁当
あいさつ
あいすくりーむ アイスクリーム
あいすてぃー アイスティー
あいすほっけー アイスホッケー
あいせき 相席
あいちけん 愛知県
あいであ アイデア
あいであまん アイデアマン
あいでぃーかーど IDカード
あいどる アイドル
あいぴーあどれす IPアドレス
あいまい
あいろん アイロン
あうぇいかん アウェイ感
あうとおぶがんちゅう アウトオブ眼中
あおいさんみゃく 青い山脈
あおかび 青かび
あおぞらぶんこ 青空文庫
あおてんじょう 青天井
あかいいと 赤い糸
あかいきつね 赤いきつね
あかじ 赤字
あかちゃん 赤ちゃん
あかぺん 赤ペン
あがり
あきあき 飽き飽き
あきばれ 秋晴れ
あきびん 空きびん
あきや 空き家
あきれすけん アキレス腱
あくしゅ 握手
あくせさりー アクセサリー
あくせる アクセル
あくとくしょうにん 悪徳商人
あくま 悪魔
あくまちょうじん 悪魔超人
あくむ 悪夢
あくやく 悪役
あくゆう 悪友
あくりょく 握力
あけがた 明け方
あご
あこーでぃおん アコーディオン
あごひげ
あさ 朝
あさせ 浅瀬
あさづけ 浅漬け
あさねぼう 朝寝坊
あさひ 朝日
あさり アサリ
あしあと 足跡
あしがかり 足がかり
あしかせ 足かせ
あじさい アジサイ
あしたからほんきだす 明日から本気出す
あしのうら 足の裏
あすぱらがす アスパラガス
あすふぁると アスファルト
あせ 汗
あせも
あそさん 阿蘇山
あそびにん 遊び人
あそぶかねほしさ 遊ぶ金欲しさ
あだな あだ名
あたまだし 頭出し
あたりはんてい 当たり判定
あつあげ 厚揚げ
あつぎり 厚切り
あっしゅく 圧縮
あっとうてきしょうり 圧倒的勝利
あっぱーかっと アッパーカット
あっぱれ
あっぷるぱい アップルパイ
あっぷろーど アップロード
あつりょくなべ 圧力鍋
あてさき あて先
あてずっぽう
あどばるーん アドバルーン
あとらんてぃすたいりく アトランティス大陸
あにめ アニメ
あねったい 亜熱帯
あばたー アバター
あはたいけん アハ体験
あばれんぼう 暴れん坊
あびきょうかん 阿鼻叫喚
あひる アヒル
あぶらあせ 脂汗
あぶらかだぶら アブラカダブラ
あふりか アフリカ
あふろへあ アフロヘア
あぼかど アボカド
あまごい 雨ごい
あまぞん アマゾン
あまちゅあ アマチュア
あまど 雨戸
あまどい 雨どい
あまとう 甘党
あまのがわ 天の川
あまのじゃく
あまもり 雨漏り
あまやどり 雨宿り
あまりに人間的な
あまりもの 余りもの
あめにもまけず 雨ニモ負ケズ
あめふってじかたまる 雨降って地固まる
あめふらし アメフラシ
あめりか アメリカ
あめりかんどりーむ アメリカンドリーム
あめんぼ
あやつりにんぎょう 操り人形
あらーむきのう アラーム機能
あらいぐま アライグマ
あらしがおか 嵐が丘
あらなみ 荒波
あらびあ アラビア
あられ
ありくい アリクイ
ありときりぎりす アリとキリギリス
ありのす アリの巣
ありばい アリバイ
ありばば アリババ
あるこーるいぞんしょう アルコール依存症
あるこーるどすう アルコール度数
あるこーるらんぷ アルコールランプ
あるばいと アルバイト
あるぱか アルパカ
あるぷす アルプス
あるまじろ アルマジロ
あるみほいる アルミホイル
あれるぎー アレルギー
あろはしゃつ アロハシャツ
あわじしま 淡路島
あわせわざ 合わせ技
あわだてき 泡だて器
あんかけ
あんごうか 暗号化
あんこくせいうん 暗黒星雲
あんさつ 暗殺
あんざん 暗算
あんじ 暗示
あんしょうばんごう 暗証番号
あんしん 安心
あんぜんうんてん 安全運転
あんぜんぐつ 安全靴
あんぜんぴん 安全ピン
あんだせいぞうき 安打製造機
あんていかん 安定感
あんどろいど アンドロイド
あんにんどうふ 杏仁豆腐
あんぱん
あんぱんまん アンパンマン
あんぺあ アンペア
あんみつ
あんらくいすたんてい 安楽椅子探偵
あんらくし 安楽死
いあいぎり 居合い切り
いーすぽーつ eスポーツ
いいだしっぺ
いーゆー EU
いいわけ 言い訳
いいんかい 委員会
いえすまん イエスマン
いえにかえるまでがえんそく 家に帰るまでが遠足
いえん 胃炎
いか イカ
いかいよう 胃潰瘍
いかくしゃげき 威嚇射撃
いがくぶ 医学部
いかさま イカサマ
いかつりぎょせん イカ釣り漁船
いかどうぶん 以下同文
いかめら 胃カメラ
いかり 錨
いぎりす イギリス
いくじなし 意気地なし
いけにえ
いけばな 生け花
いけめん イケメン
いご 囲碁
いざかまくら いざ鎌倉
いざかや 居酒屋
いざなぎけいき いざなぎ景気
いしあたま 石頭
いしうす 石臼
いしがき 石垣
いしころ 石ころ
いしだたみ 石畳
いしばしをたたいてわたる 石橋を叩いて渡る
いじょうきしょう 異常気象
いじん 偉人
いす 椅子
いせかい 異世界
いせき 遺跡
いそぎんちゃく イソギンチャク
いぞんしょう 依存症
いただきます
いちえねるぎー 位置エネルギー
いちおく 一億
いちご狩り
いちじく
いちにちじょうしゃけん 一日乗車券
いちねんのけい 一年の計
いちぱーせんと 1%
いちまいうわて 一枚上手
いちまんえん 一万円
いちもくりょうぜん 一目瞭然
いちもんなし 一文無し
いちょうやく 胃腸薬
いちりんしゃ 一輪車
いっかいやすみ 1回休み
いっかつへんかん 一括変換
いっきのみ 一気飲み
いっこういっき 一向一揆
いっしそうでん 一子相伝
いっしゅうかん 一週間
いっしゅん 一瞬
いっしょうびん 一升びん
いっしんじょうのつごう 一身上の都合
いっしんどうたい 一心同体
いっすんぼうし 一寸法師
いつだつ 逸脱
いったんもめん 一反木綿
いっちょう 一兆
いっちょくせん 一直線
いっとうせい 一等星
いっとん 1トン
いっぱいくわされた 一杯くわされた
いっぴきおおかみ 一匹狼
いっぽんがち 一本勝ち
いっぽんづり 一本釣り
いでん 遺伝
いて座
いどうしゅだん 移動手段
いどばたかいぎ 井戸端会議
いぬかき
いぬぐい 犬食い
いぬのさんぽ 犬の散歩
いねかり 稲刈り
いのしし イノシシ
いのちがけ 命がけ
いのちづな 命綱
いのり 祈り
いばらきけん 茨城県
いふく 衣服
いぶくろ 胃袋
いぶつかん 異物感
いもじょうちゅう 芋焼酎
いもづるしき 芋づる式
いやよいやよもすきのうち 嫌よ嫌よも好きのうち
いらいらぼう イライラ棒
いらすと イラスト
いりぐち 入口
いりょうひ 医療費
いるか イルカ
いれいひ 慰霊碑
いれずみ 入れ墨
いれば 入れ歯
いろちがい 色違い
いろり
いんがかんけい 因果関係
いんがなしょうばい 因果な商売
いんきょ 隠居
いんしゅうんてん 飲酒運転
いんしゅりん インシュリン
いんすうぶんかい 因数分解
いんすとーる インストール
いんせい 院政
いんせき 隕石
いんたーねっと インターネット
いんたい 引退
いんてり インテリ
いんど インド
いんふるえんざ インフルエンザ
いんふれ インフレ
いんべーだー インベーダー
いんぼうろん 陰謀論
いんようく 引用句
うぃき WIKI
うぃざーどりぃ ウィザードリィ
うぃすきー ウィスキー
うーぱーるーぱー ウーパールーパー
うーろんちゃ ウーロン茶
うえからめせん 上から目線
うえきばち 植木鉢
ヴぇにすのしょうにん ヴェニスの商人
うえはーす ウエハース
うぇぶさいと ウェブサイト
うえをむいてあるこう 上を向いて歩こう
うぉーみんぐあっぷ ウォーミングアップ
うぉっか ウォッカ
うかい 鵜飼い
うきぶくろ 浮き袋
うきよえ 浮世絵
うけざら 受け皿
うけつけ 受付
うさぎ ウサギ
うし 牛
うしろゆび 後ろ指
うしわかまる 牛若丸
うず 渦
うすあかり 薄明り
うたかい 歌会
うたがわしきはばっせず 疑わしきは罰せず
うちこんだこと 打ち込んだこと
うちみず 打ち水
うちゅうじん 宇宙人
うちゅうひこうし 宇宙飛行士
うちゅうふく 宇宙服
うちゅうゆうえい 宇宙遊泳
うでがなる 腕が鳴る
うでずもう 腕相撲
うでたてふせ 腕立て伏せ
うどん
うなぎ
うぶげ 産毛
うまいはなし うまい話
うまとび 馬飛び
うまれつき 生まれつき
うみ 海
うみぼうず 海坊主
うめ 梅
うめぼし 梅干し
うらがえし 裏返し
うらしまたろう 浦島太郎
うらないし 占い師
うらばんぐみ 裏番組
うらわざ 裏ワザ
うらん ウラン
うりもの 売り物
うるし塗り
うれしい悲鳴
うんが 運河
うんざり
うんだめし 運試し
うんちんひょう 運賃表
うんてんしゅ 運転手
うんめいのはぐるま 運命の歯車
えあこん エアコン
えあぶらし エアブラシ
えあろびくす エアロビクス
えいかいわ 英会話
えいがかん 映画館
えいがかんとく 映画監督
えいきゅうきかん 永久機関
えいぎょうしょく 営業職
えいぎょうぼうがい 営業妨害
えいさくぶん 英作文
えいせいほうそう 衛星放送
えいとびーと エイトビート
えいとまん 8マン
えいぷりるふーる エイプリルフール
えいようどりんく 栄養ドリンク
えーちーむ Aチーム
えきしょうぱねる 液晶パネル
えきびょう 疫病
えきびる 駅ビル
えくれあ エクレア
えごいずむ エゴイズム
えこのみーくらすしょうこうぐん エコノミークラス症候群
えこんて 絵コンテ
えじぷと エジプト
えすえぬえす SNS
えすかれーたー エスカレーター
えすきもー エスキモー
えすぱー エスパー
えせかがく えせ科学
えちおぴあ エチオピア
えちけっとぶくろ エチケット袋
えっくすでー Xデー
えっけんのま 謁見の間
えつにいる 悦に入る
えと 干支
えぬえいちけーすぺしゃる NHKスペシャル
えび エビ
えびでたいをつる エビで鯛を釣る
えひめけん 愛媛県
えふえむらじお FMラジオ
えふびーあい FBI
えぷろん エプロン
えふわんれーす F1レース
えぼし 烏帽子
えま 絵馬
えめらるど エメラルド
えもの 獲物
えらーめっせーじ エラーメッセージ
えらこきゅう エラ呼吸
えらばれしもの 選ばれし者
えりくさー エリクサー
えりまきとかげ エリマキトカゲ
えるえるさいず LLサイズ
えれべーたー エレベーター
えんうんどう 円運動
えんかいげい 宴会芸
えんけいだつもうしょう 円形脱毛症
えんざい えん罪
えんしゅうりつ 円周率
えんしょう 延焼
えんじょこうさい 援助交際
えんじん エンジン
えんしんぶんりき 遠心分離機
えんしんりょく 遠心力
えんだか 円高
えんちゅう 円柱
えんちょうせん 延長戦
えんでぃんぐ エンディング
えんどう豆
えんのしたのちからもち 縁の下の力持ち
えんぴつ 鉛筆
えんぴつけずり 鉛筆けずり
えんぶれむ エンブレム
えんまだいおう 閻魔大王
おいこししゃせん 追越車線
おいぬさま お犬様
おう 王
おういけいしょうしゃ 王位継承者
おうえんだん 応援団
おうかん 王冠
おうぎ 奥義
おうごんじだい 黄金時代
おうごんひ 黄金比
おうさまのみみはろばのみみ 王様の耳はロバの耳
おうじ 王子
おうだんほどう 横断歩道
おうて 王手
おうどいろ 黄土色
おうとつ 凹凸
おうふくはがき 往復はがき
おうふくびんた 往復ビンタ
おうべいか 欧米化
おえかききょうしつ お絵描き教室
おおあたり 大当たり
おおがたしんじん 大型新人
おおかみ オオカミ
おおかみおとこ 狼男
おーくしょん オークション
おーけーさいん OKサイン
おおげさ 大げさ
おーけすとら オーケストラ
おおさわぎ 大騒ぎ
おーすとらりあ オーストラリア
おおそうじ 大掃除
おーとばい オートバイ
おーどぶる オードブル
おーぱーつ オーパーツ
おーぶん オーブン
おおみそか 大みそか
おーむのほうそく オームの法則
おおもり 大盛り
おーろら オーロラ
おかしのいえ お菓子の家
おかね お金
おかゆ
おかると オカルト
おかわり
おきなわそば 沖縄そば
おきゃくさまはかみさまです お客様は神様です
おくたーぶ オクターブ
おくびょう 臆病
おくまんちょうじゃ 億万長者
おくやみ お悔み
おくらいり お蔵入り
おこさまらんち お子様ランチ
おこづかい
おこのみやき お好み焼き
おじぎ
おじさん
おしばな 押し花
おしぼり
おしゃれ
おす 押忍！
おすそわけ
おせち
おせろ オセロ
おせんげん 汚染源
おそなえ お供え
おたけび
おためしきかん お試し期間
おたよりこーなー お便りコーナー
おち オチ
おちば 落ち葉
おちむしゃ 落ち武者
おちゃづけ お茶漬け
おつかい
おつかれさま
おつり お釣り
おでこ
おてだま お手玉
